garment,mward,fward,TBASS,layer,biz_formal,biz_casual,biz_not,workout,rain_fcast,snow_fcast,beach_fcast,temp_vcold,temp_cold,temp_temp,temp_hot,temp_vhot
Heavy winter coat,True,True,top,4,True,True,True,False,False,True,False,True,False,False,False,False
Light winter coat,True,True,top,4,True,True,True,False,False,True,False,False,True,False,False,False
Rain coat,False,False,top,4,False,False,False,False,True,False,False,False,False,False,False,False
Hat,True,True,accessory,5,True,True,True,False,False,True,False,True,True,False,False,False
Scarf,True,True,accessory,5,True,True,True,False,False,True,False,True,True,False,False,False
Gloves,True,True,accessory,5,True,True,True,False,False,True,False,True,True,False,False,False
Light jacket/cardigan/hoodie,True,True,top,3,True,True,True,False,False,False,False,True,True,True,False,False
Sweater,True,True,top,3,False,True,True,False,False,False,False,True,True,True,False,False
Blouse,False,True,top,2,True,True,False,False,False,False,False,True,True,True,True,False
Button down shirt,True,False,top,2,True,True,False,False,False,False,False,True,True,True,True,False
Tie,True,False,accessory,3,True,False,False,False,False,False,False,True,True,True,True,False
Wool suit jacket,True,True,top,3,True,False,False,False,False,False,False,True,True,True,False,False
Wool suit pants,True,True,bottom,2,True,False,False,False,False,False,False,True,True,True,False,False
Wool suit skirt,False,True,bottom,2,True,False,False,False,False,False,False,True,True,True,False,False
Linen suit jacket,True,True,top,3,True,False,False,False,False,False,False,False,False,False,True,True
Linen suit pants,True,True,bottom,2,True,False,False,False,False,False,False,False,False,False,True,True
Linen suit skirt,False,True,bottom,2,True,False,False,False,False,False,False,False,False,False,True,True
Top/t-shirt,True,True,top,2,False,True,True,False,False,False,False,True,True,True,True,True
"Casual pants (jeans, chinos, etc)",True,False,bottom,2,False,True,True,False,False,False,False,True,True,True,True,True
Work skirt,False,True,bottom,2,True,True,False,False,False,False,False,False,True,True,True,True
Casual pants or skirts,False,True,bottom,2,True,True,True,False,False,False,False,True,True,True,True,True
Work shoes,True,True,shoes,5,True,False,False,False,False,False,False,True,True,True,True,False
Walking/athletic shoes,True,True,shoes,5,False,True,True,True,False,False,False,True,True,True,True,True
Winter boots,True,True,shoes,5,True,True,True,False,False,True,False,True,True,False,False,False
Rain boots,False,False,shoes,5,False,False,False,False,True,False,False,False,False,False,False,False
Camisole/tank,False,True,top,1,True,True,True,False,False,False,False,True,True,True,True,True
Undershirt,True,False,top,1,True,True,True,False,False,False,False,True,True,True,True,True
Socks (pairs),True,True,socks,1,True,True,True,False,False,False,False,True,True,True,True,True
Pantyhose,False,True,socks,3,True,True,False,False,False,False,False,True,True,True,True,False
Breifs/Boxers,True,False,bottom,0,True,True,True,False,False,False,False,True,True,True,True,True
Panties,False,True,bottom,0,True,True,True,False,False,False,False,True,True,True,True,True
Bra,False,True,top,0,True,True,True,False,False,False,False,True,True,True,True,True
Umbrella,False,False,accessory,5,False,False,False,False,True,False,False,False,False,False,False,False
Workout wear,True,True,top,3,True,True,True,True,False,False,False,True,True,True,True,True
Bathing suit,True,True,top,4,True,False,True,True,False,False,True,False,True,True,True,True
Shorts,True,True,bottom,2,False,True,True,False,False,False,True,False,False,False,True,True
Sandals,True,True,shoes,5,False,True,True,False,False,False,True,False,False,False,True,True
Pajamas,True,True,top,3,True,True,True,False,False,False,False,True,True,True,True,True
